latitude,longitude,elevation_masl,farm_area_hectares,slope_degrees,shade_coverage_pct,variety,plant_density_per_ha,irrigation_type,plant_age_months,plant_height_cm,trunk_diameter_cm,number_of_branches,leaf_count,bbch_stage,monthly_temp_min_c,monthly_temp_max_c,monthly_temp_avg_c,monthly_rainfall_mm,monthly_relative_humidity_pct,monthly_solar_radiation_mj_m2,monthly_wind_speed_ms,monthly_gdd,monthly_vpd_kpa,soil_pH,soil_organic_matter_pct,soil_nitrogen_pct,soil_phosphorus_mg_per_100g,soil_potassium_mg_per_100g,soil_cec_meq_per_100g,soil_moisture_pct,soil_bulk_density_g_cm3,bean_screen_size,bean_moisture_pct,bean_defect_count_per_300g,bean_count_per_100g,quality_score,caffeine_content_pct,cherry_yield_kg,environmental_stress_index
15.24908,122.401429,639,2.0,8.1,24.7,Robusta Canephora,1959,Rainfed,22.3,142.4,5.4,7,284,8,22.6,31.9,27.1,145.7,86.7,628.5,0.5,511.51,0.48,5.12,1.93,0.1,4.9,67.9,18.4,14.9,1.32,14.3,11.9,0,361,98.0,1.64,0.0,0.005
16.010723,121.350312,324,1.92,5.6,45.3,Robusta Liberica,1895,Sprinkler,64.4,187.7,9.0,20,649,3,24.8,33.8,28.8,52.1,78.7,600.5,2.7,565.31,0.84,4.64,1.5,0.1,8.1,61.3,16.4,24.2,1.32,17.8,12.0,0,363,98.0,1.49,10.74,0.163
15.265854,122.443424,709,2.3,9.7,27.7,Robusta Canephora,2022,Rainfed,13.8,98.9,3.7,3,168,8,24.6,33.5,28.7,15.8,53.7,577.9,2.1,560.01,1.82,5.35,4.03,0.196,7.3,104.6,24.5,21.5,1.1,13.8,11.2,0,357,95.9,1.2,0.0,0.194
14.944216,120.739731,402,2.86,11.5,35.6,Robusta S795,1903,Rainfed,30.3,166.8,6.7,10,387,7,24.4,32.1,28.8,103.1,74.5,537.3,2.3,564.95,1.01,4.5,4.71,0.228,5.7,78.7,25.2,24.8,1.18,16.0,10.0,0,337,98.0,2.26,2.12,0.112
14.940482,121.922299,685,1.37,6.9,48.2,Robusta Canephora,2436,Rainfed,36.6,172.9,6.9,11,421,8,23.4,32.4,27.7,64.7,61.5,398.3,5.6,532.27,1.43,5.29,3.05,0.164,6.2,36.9,24.4,27.4,0.97,17.2,11.9,0,325,98.0,2.13,3.83,0.095
15.636617,120.68735,420,1.16,9.9,49.2,Robusta S795,1986,Sprinkler,43.3,201.7,8.3,15,530,3,25.4,34.5,29.8,20.7,49.3,636.3,3.3,592.82,2.12,5.26,2.59,0.135,7.7,49.0,18.1,24.4,0.9,14.3,12.1,0,319,98.0,1.65,5.04,0.244
16.19734,120.773243,625,1.88,10.9,32.6,Robusta Liberica,2367,Sprinkler,48.8,239.9,9.6,18,639,3,22.5,31.2,26.8,174.7,81.1,515.7,1.2,502.94,0.67,4.64,1.64,0.1,3.4,92.6,14.3,28.4,1.04,15.0,12.7,0,369,98.0,2.0,8.58,0.01
15.145913,122.090372,362,1.6,6.6,20.8,Robusta S795,1580,Rainfed,61.6,200.7,9.6,21,685,6,21.0,27.5,24.2,171.6,92.1,521.0,7.3,425.35,0.24,5.0,1.81,0.1,7.7,140.8,15.3,25.0,1.26,16.9,11.1,2,368,98.0,2.31,12.09,0.14
15.646734,120.757001,686,2.55,17.5,44.6,Robusta Liberica,1706,Rainfed,27.5,154.6,6.0,8,337,0,22.2,30.1,26.4,487.8,67.2,468.9,0.5,492.15,1.13,5.14,2.77,0.138,14.7,16.8,19.0,22.3,1.31,16.5,11.9,0,375,98.0,2.19,1.11,0.03
15.493122,121.279236,378,0.75,6.1,48.8,Robusta Canephora,1591,Rainfed,80.4,147.3,8.2,20,630,6,23.2,31.3,27.4,12.0,64.8,611.5,4.4,523.14,1.29,5.2,3.68,0.182,7.8,103.9,22.0,26.0,1.23,15.3,10.5,0,390,98.0,2.09,12.84,0.133
15.348444,122.312709,266,1.73,5.2,34.1,Robusta Liberica,2240,Drip,71.2,227.7,11.4,26,800,8,25.7,32.9,29.1,398.3,54.5,571.6,0.5,574.45,1.84,5.15,2.53,0.119,2.3,111.5,17.1,23.8,1.0,18.4,10.4,0,323,98.0,1.9,15.32,0.105
14.564632,121.059527,446,2.01,10.4,24.0,Robusta Canephora,2322,Sprinkler,64.3,160.0,7.7,17,553,5,19.6,29.2,24.5,0.8,74.7,614.3,1.7,434.03,0.78,4.87,1.99,0.112,4.6,53.4,20.0,26.6,1.1,16.8,11.8,0,396,98.0,2.1,8.28,0.249
15.540615,122.044637,512,2.63,16.0,36.8,Robusta Liberica,2291,Rainfed,46.6,190.1,7.4,14,485,7,25.5,34.4,29.8,166.3,75.4,522.6,4.5,593.09,1.03,4.59,5.86,0.295,2.0,49.6,30.0,25.6,1.08,13.3,11.7,0,420,98.0,1.67,5.35,0.14
15.300601,121.895335,308,2.24,13.2,46.2,Robusta Canephora,2167,Rainfed,25.8,138.3,5.6,7,307,8,23.1,29.5,26.3,148.9,65.4,497.0,2.6,487.98,1.18,5.26,3.45,0.166,3.2,40.1,19.0,31.8,1.4,16.5,13.0,0,383,98.0,2.46,0.36,0.035
14.984941,121.038486,426,0.55,11.4,26.3,Robusta Liberica,2035,Rainfed,36.7,135.6,5.3,9,322,8,18.5,26.8,22.8,166.2,91.7,614.7,0.5,383.84,0.23,4.78,3.01,0.155,4.3,39.1,18.0,29.0,1.17,16.8,11.7,0,387,98.0,1.97,3.53,0.21
14.910155,122.435988,626,1.0,19.7,35.9,Robusta S795,2110,Rainfed,53.8,182.9,8.4,17,571,6,20.3,27.4,24.3,4.3,68.1,473.4,4.5,429.78,0.97,4.5,1.5,0.1,5.4,57.5,14.9,24.4,1.17,15.5,10.7,0,358,98.0,2.62,7.68,0.256
15.217661,122.254401,435,2.54,13.8,31.3,Robusta Canephora,2124,Rainfed,43.6,146.8,6.2,11,398,2,25.3,33.2,29.1,7.8,41.7,633.8,5.7,573.72,2.35,5.2,3.83,0.2,10.0,45.5,22.5,33.2,1.14,14.8,9.2,0,445,98.0,2.05,4.4,0.222
15.472715,121.31791,663,0.53,17.0,37.0,Robusta Liberica,1751,Rainfed,25.1,154.9,6.1,8,330,7,24.5,32.3,28.3,252.0,66.0,478.6,2.6,550.35,1.31,5.42,2.43,0.126,16.4,103.4,16.5,24.4,1.16,18.3,10.9,0,337,98.0,2.26,0.87,0.065
16.339711,121.192692,408,2.34,14.0,26.7,Robusta Canephora,1640,Rainfed,47.9,150.0,6.3,12,416,6,25.1,33.0,28.8,193.4,66.9,542.0,1.2,563.79,1.31,5.0,2.33,0.119,4.5,150.0,16.0,23.7,1.38,17.9,9.3,0,358,98.0,1.92,3.98,0.09
16.392231,121.246619,362,2.11,13.2,20.8,Robusta Liberica,2366,Rainfed,51.7,182.2,7.8,15,525,7,22.0,30.2,26.0,25.3,61.1,595.7,4.6,480.84,1.31,4.69,1.5,0.1,8.6,104.4,17.2,17.5,1.32,17.8,10.5,0,338,98.0,2.14,6.98,0.15
16.449095,122.059518,268,1.91,24.7,34.1,Robusta S795,1984,Rainfed,65.4,176.6,8.7,19,628,6,27.3,35.0,30.7,392.3,84.2,588.5,2.8,621.17,0.7,5.0,1.5,0.1,2.3,32.8,15.1,36.5,1.33,15.3,9.5,1,320,98.0,2.04,10.72,0.185
14.636499,122.174158,462,2.79,19.4,38.3,Robusta Liberica,1976,Drip,79.5,188.9,10.3,25,796,1,22.3,28.9,25.4,318.5,95.0,480.5,5.5,460.78,0.16,5.19,5.38,0.254,3.6,75.2,30.0,16.2,1.32,17.6,11.1,0,366,98.0,2.32,15.1,0.08
15.884553,122.198391,349,1.72,9.4,49.6,Robusta S795,2169,Rainfed,54.4,143.0,7.0,14,478,7,23.5,31.2,26.7,3.7,70.9,490.9,6.2,502.29,1.02,5.47,1.5,0.1,10.0,107.8,11.4,35.2,1.22,17.5,10.8,0,357,98.0,1.99,7.01,0.136
14.500475,120.870946,430,2.83,6.4,20.3,Robusta S795,2267,Rainfed,46.6,211.6,8.9,16,585,0,22.8,32.3,27.8,493.4,70.8,446.6,1.2,533.03,1.09,4.97,1.5,0.1,9.9,49.1,13.0,26.9,1.17,19.0,10.5,0,334,98.0,2.17,7.53,0.04
15.200251,120.615685,781,2.71,23.6,49.8,Robusta S795,1760,Rainfed,47.4,171.4,7.5,14,493,8,26.4,34.0,30.9,137.6,57.0,436.0,2.2,627.28,1.92,5.18,1.9,0.1,9.8,56.3,15.4,25.2,1.3,16.8,12.6,1,383,98.0,2.02,6.14,0.195
14.990571,120.814681,296,1.34,9.8,47.9,Robusta Canephora,2198,Rainfed,75.5,199.4,10.3,24,779,1,23.8,31.5,28.5,244.8,73.8,620.9,3.2,555.6,1.02,4.63,1.86,0.1,4.8,46.1,17.6,21.5,1.07,15.1,10.8,0,405,98.0,2.61,15.17,0.075
15.688792,121.267225,239,2.55,12.4,44.6,Robusta Canephora,2183,Rainfed,31.7,153.2,6.1,9,351,5,20.5,29.4,25.1,2.6,58.6,609.5,6.0,451.87,1.32,5.17,1.5,0.1,4.8,62.3,12.7,32.2,1.14,16.7,11.5,0,363,98.0,1.72,2.51,0.217
14.565052,122.341696,569,2.49,14.6,23.5,Robusta S795,2107,Rainfed,52.2,203.4,8.9,17,602,7,21.4,29.4,25.7,158.2,90.7,473.4,3.2,471.43,0.31,5.28,2.81,0.137,5.2,39.3,17.5,30.1,1.16,17.4,11.4,0,360,98.0,2.04,7.81,0.065
14.74844,122.292443,556,2.04,17.3,29.0,Robusta Liberica,2125,Drip,56.1,239.6,10.8,22,755,7,22.4,30.7,26.5,146.2,74.8,640.2,1.7,494.32,0.87,5.85,1.7,0.1,4.3,90.7,17.0,15.0,1.02,15.3,9.9,1,338,98.0,1.97,11.54,0.025
16.192491,121.75753,641,2.42,15.1,36.3,Robusta Canephora,2078,Rainfed,64.2,204.0,9.8,22,704,8,24.1,32.7,28.9,26.9,59.7,635.4,6.2,566.26,1.6,4.99,1.5,0.1,6.4,47.0,14.9,30.3,0.9,16.5,11.3,0,347,98.0,1.61,11.81,0.193
